type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2022-10-15 03:31:36,23.29307972,77.27227260,3,478.513,,1.100,341,17,31,20221015-090136,GPS Logger: 20221015-090136 - Track_10_Oct_15
T,2022-10-15 03:31:37,23.29307598,77.27228335,4,478.181,,0.720,353,19,31,,
T,2022-10-15 03:31:38,23.29307869,77.27228518,4,478.664,,0.690,1,19,31,,
T,2022-10-15 03:31:39,23.29307554,77.27228801,3,478.650,,0.410,178,18,31,,
T,2022-10-15 03:31:40,23.29306588,77.27229214,3,478.519,,0.790,176,18,31,,
T,2022-10-15 03:31:41,23.29305561,77.27229811,3,477.295,,1.040,175,19,31,,
T,2022-10-15 03:31:42,23.29304221,77.27230113,3,476.320,,1.150,177,20,31,,
T,2022-10-15 03:31:43,23.29302656,77.27230224,3,476.339,,1.170,179,22,31,,
T,2022-10-15 03:31:44,23.29301145,77.27230144,3,476.126,,1.240,184,23,31,,
T,2022-10-15 03:31:45,23.29299810,77.27229806,3,474.682,,1.490,191,22,31,,
T,2022-10-15 03:31:46,23.29298892,77.27229578,3,473.434,,1.150,191,22,31,,
T,2022-10-15 03:31:47,23.29297894,77.27229180,3,472.409,,1.460,200,24,31,,
T,2022-10-15 03:31:48,23.29297172,77.27228494,3,472.333,,1.130,215,24,31,,
T,2022-10-15 03:31:49,23.29296579,77.27227453,3,472.544,,1.220,235,24,31,,
T,2022-10-15 03:31:50,23.29296035,77.27226027,3,472.344,,1.220,251,24,31,,
T,2022-10-15 03:31:51,23.29295633,77.27224398,3,472.099,,1.240,255,24,31,,
T,2022-10-15 03:31:52,23.29295542,77.27222890,3,471.392,,1.260,263,24,31,,
T,2022-10-15 03:31:53,23.29295630,77.27221276,3,471.923,,1.290,268,24,31,,
T,2022-10-15 03:31:54,23.29295834,77.27219815,3,472.274,,1.290,269,22,30,,
T,2022-10-15 03:31:55,23.29295935,77.27218385,3,471.621,,1.300,268,22,31,,
T,2022-10-15 03:31:56,23.29295926,77.27217193,3,471.454,,0.770,259,21,31,,
T,2022-10-15 03:31:57,23.29295829,77.27216182,3,471.609,,0.920,261,21,31,,
T,2022-10-15 03:31:58,23.29295721,77.27214772,3,469.459,,1.300,262,21,31,,
T,2022-10-15 03:31:59,23.29295511,77.27213116,3,469.443,,1.300,263,20,31,,
T,2022-10-15 03:32:00,23.29295380,77.27211589,3,468.845,,1.290,260,20,31,,
T,2022-10-15 03:32:01,23.29295244,77.27210050,3,468.381,,1.290,261,20,31,,
T,2022-10-15 03:32:02,23.29295318,77.27208260,3,469.090,,1.520,271,21,31,,
T,2022-10-15 03:32:03,23.29295396,77.27206277,3,469.247,,1.740,272,21,31,,
T,2022-10-15 03:32:04,23.29295297,77.27204481,3,467.939,,1.320,270,22,31,,
T,2022-10-15 03:32:05,23.29295105,77.27202990,3,466.964,,1.300,266,22,31,,
T,2022-10-15 03:32:06,23.29294909,77.27201972,3,467.230,,0.620,264,22,31,,
T,2022-10-15 03:32:07,23.29294775,77.27200982,3,467.276,,1.160,268,22,31,,
T,2022-10-15 03:32:08,23.29294754,77.27199950,3,467.353,,0.830,271,22,31,,
T,2022-10-15 03:32:09,23.29294857,77.27199411,3,467.332,,0.590,287,21,31,,
T,2022-10-15 03:32:10,23.29295114,77.27198371,3,467.663,,1.340,295,18,31,,
T,2022-10-15 03:32:11,23.29295457,77.27197081,3,467.984,,1.190,296,15,31,,
T,2022-10-15 03:32:12,23.29295650,77.27195617,3,467.673,,1.330,286,16,31,,
