type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2022-10-11 02:52:03,23.29305773,77.27233881,4,477.347,,0.000,,17,34,20221011-082203,GPS Logger: 20221011-082203 - Track_6_Oct_11
T,2022-10-11 02:52:04,23.29304808,77.27233906,4,477.965,,0.000,,17,34,,
T,2022-10-11 02:52:05,23.29305869,77.27233223,4,477.035,,0.000,,17,34,,
T,2022-10-11 02:52:06,23.29304076,77.27232963,4,477.712,,0.780,158,17,34,,
T,2022-10-11 02:52:07,23.29305280,77.27231108,3,475.681,,0.860,175,17,34,,
T,2022-10-11 02:52:08,23.29304509,77.27230885,3,474.462,,1.430,174,17,34,,
T,2022-10-11 02:52:09,23.29303676,77.27230825,3,474.874,,1.450,174,17,34,,
T,2022-10-11 02:52:10,23.29302844,77.27230413,3,474.268,,1.430,174,19,34,,
T,2022-10-11 02:52:11,23.29301386,77.27231072,3,474.751,,1.300,174,18,34,,
T,2022-10-11 02:52:12,23.29300572,77.27230857,3,474.910,,1.280,176,20,34,,
T,2022-10-11 02:52:13,23.29299520,77.27230426,3,475.142,,1.280,202,22,34,,
T,2022-10-11 02:52:14,23.29298555,77.27229718,3,474.331,,1.310,195,22,34,,
T,2022-10-11 02:52:15,23.29297521,77.27229098,3,474.236,,1.340,206,22,34,,
T,2022-10-11 02:52:16,23.29296523,77.27228034,3,473.865,,1.610,213,22,34,,
T,2022-10-11 02:52:17,23.29295868,77.27226799,3,473.313,,1.250,224,22,34,,
T,2022-10-11 02:52:18,23.29295475,77.27225726,3,473.236,,0.890,232,23,34,,
T,2022-10-11 02:52:19,23.29295390,77.27224261,3,473.777,,1.380,250,22,34,,
T,2022-10-11 02:52:20,23.29295266,77.27222618,3,473.818,,1.360,258,21,34,,
T,2022-10-11 02:52:21,23.29295154,77.27221293,3,474.141,,1.350,266,22,32,,
T,2022-10-11 02:52:22,23.29295162,77.27219897,3,474.053,,1.350,267,20,32,,
T,2022-10-11 02:52:23,23.29295258,77.27218505,3,474.001,,1.330,272,20,32,,
T,2022-10-11 02:52:24,23.29295379,77.27216917,3,473.596,,1.340,273,20,32,,
T,2022-10-11 02:52:25,23.29295656,77.27215470,3,472.559,,1.340,274,23,32,,
T,2022-10-11 02:52:26,23.29295924,77.27214159,3,472.345,,1.330,273,23,32,,
T,2022-10-11 02:52:27,23.29296103,77.27212740,4,471.728,,1.350,276,22,31,,
T,2022-10-11 02:52:28,23.29296377,77.27211165,4,471.413,,1.360,281,22,32,,
T,2022-10-11 02:52:29,23.29296720,77.27209682,3,471.050,,1.370,282,22,32,,
T,2022-10-11 02:52:30,23.29296908,77.27208298,4,471.323,,1.360,280,23,32,,
T,2022-10-11 02:52:31,23.29297041,77.27206842,4,471.774,,1.360,277,23,32,,
T,2022-10-11 02:52:32,23.29297340,77.27205463,4,471.748,,1.350,281,23,32,,
T,2022-10-11 02:52:33,23.29297605,77.27203970,4,472.097,,1.360,287,22,31,,
T,2022-10-11 02:52:34,23.29297655,77.27202135,4,471.676,,1.700,282,22,31,,
T,2022-10-11 02:52:35,23.29297568,77.27200392,4,471.432,,1.380,274,19,31,,
T,2022-10-11 02:52:36,23.29297133,77.27198846,4,471.306,,1.390,264,19,32,,
T,2022-10-11 02:52:37,23.29296709,77.27197383,4,471.647,,1.400,264,20,32,,
T,2022-10-11 02:52:38,23.29296235,77.27195845,4,471.466,,1.410,263,19,32,,
T,2022-10-11 02:52:39,23.29295964,77.27194521,4,471.548,,1.390,265,19,31,,
T,2022-10-11 02:52:40,23.29295443,77.27193058,4,471.240,,1.400,262,19,32,,
T,2022-10-11 02:52:41,23.29294700,77.27191648,4,471.350,,1.400,257,20,32,,
T,2022-10-11 02:52:42,23.29294274,77.27190218,4,471.614,,1.310,254,20,32,,
T,2022-10-11 02:52:43,23.29293723,77.27188813,4,471.578,,1.390,252,22,32,,
T,2022-10-11 02:52:44,23.29293009,77.27187290,4,471.261,,1.410,253,23,32,,
T,2022-10-11 02:52:45,23.29291923,77.27185899,4,470.851,,1.410,246,23,32,,
T,2022-10-11 02:52:46,23.29290677,77.27184606,4,471.027,,1.410,239,23,32,,
T,2022-10-11 02:52:47,23.29289473,77.27183548,4,471.329,,1.400,234,22,32,,
T,2022-10-11 02:52:48,23.29288251,77.27182488,4,471.706,,1.400,238,22,32,,
T,2022-10-11 02:52:49,23.29287549,77.27181119,4,472.354,,1.390,250,23,32,,
T,2022-10-11 02:52:50,23.29287503,77.27179531,3,472.403,,1.390,264,24,32,,
T,2022-10-11 02:52:51,23.29287793,77.27177964,3,472.094,,1.420,274,24,32,,
T,2022-10-11 02:52:52,23.29288221,77.27176309,4,472.023,,1.420,277,23,32,,
T,2022-10-11 02:52:53,23.29288374,77.27174513,4,471.434,,1.450,273,22,32,,
T,2022-10-11 02:52:54,23.29288448,77.27172718,4,471.769,,1.450,270,22,32,,
T,2022-10-11 02:52:55,23.29288114,77.27171241,4,472.768,,1.260,263,22,32,,
T,2022-10-11 02:52:56,23.29287685,77.27169653,10,472.692,,1.400,259,22,32,,
T,2022-10-11 02:52:57,23.29287565,77.27168095,10,473.009,,1.400,259,22,32,,
T,2022-10-11 02:52:58,23.29287172,77.27166536,10,473.273,,1.410,260,23,32,,
T,2022-10-11 02:52:59,23.29287099,77.27164950,10,473.663,,1.410,263,22,32,,
T,2022-10-11 02:53:00,23.29286859,77.27163338,10,473.826,,1.440,260,20,32,,
T,2022-10-11 02:53:01,23.29286873,77.27161623,10,473.824,,1.460,265,19,32,,
T,2022-10-11 02:53:02,23.29286661,77.27160144,10,474.145,,1.430,265,19,32,,
T,2022-10-11 02:53:03,23.29286376,77.27158505,10,474.059,,1.440,266,18,32,,
T,2022-10-11 02:53:04,23.29286328,77.27157132,11,473.505,,1.430,264,20,32,,
T,2022-10-11 02:53:05,23.29286406,77.27155761,11,474.229,,1.420,263,21,32,,
T,2022-10-11 02:53:06,23.29286443,77.27154321,10,474.744,,1.420,266,21,32,,
T,2022-10-11 02:53:07,23.29286279,77.27152981,10,474.296,,1.610,259,21,31,,
T,2022-10-11 02:53:08,23.29285721,77.27151695,10,474.127,,1.390,254,22,32,,
T,2022-10-11 02:53:09,23.29285346,77.27150300,10,474.662,,1.390,252,22,32,,
T,2022-10-11 02:53:10,23.29284886,77.27148877,10,474.334,,1.390,255,20,32,,
T,2022-10-11 02:53:11,23.29284315,77.27147418,10,474.025,,1.380,256,21,32,,
T,2022-10-11 02:53:12,23.29283857,77.27145940,10,474.213,,1.380,252,22,32,,
T,2022-10-11 02:53:13,23.29283266,77.27144605,10,474.133,,1.390,250,22,29,,
T,2022-10-11 02:53:14,23.29282758,77.27143242,10,474.140,,1.390,251,22,29,,
T,2022-10-11 02:53:15,23.29281732,77.27141903,10,474.362,,1.400,247,21,29,,
T,2022-10-11 02:53:16,23.29280981,77.27140434,10,474.122,,1.400,247,22,29,,
T,2022-10-11 02:53:17,23.29280218,77.27139306,10,473.730,,0.730,239,22,29,,
T,2022-10-11 02:53:18,23.29279111,77.27138552,10,474.081,,1.400,229,22,29,,
T,2022-10-11 02:53:19,23.29277959,77.27137982,10,473.846,,0.830,210,23,29,,
T,2022-10-11 02:53:20,23.29276846,77.27137475,10,473.656,,1.090,212,23,29,,
T,2022-10-11 02:53:21,23.29276033,77.27136362,10,473.493,,1.660,228,23,29,,
T,2022-10-11 02:53:22,23.29275309,77.27134952,10,473.531,,1.380,236,23,29,,
T,2022-10-11 02:53:23,23.29274798,77.27133658,10,473.344,,1.380,238,23,29,,
T,2022-10-11 02:53:24,23.29274183,77.27132272,10,473.454,,1.410,233,23,29,,
T,2022-10-11 02:53:25,23.29273353,77.27131044,10,473.299,,1.420,233,24,29,,
T,2022-10-11 02:53:26,23.29272581,77.27129678,10,473.919,,1.420,240,23,29,,
T,2022-10-11 02:53:27,23.29271721,77.27128273,10,473.296,,1.410,240,24,29,,
T,2022-10-11 02:53:28,23.29270782,77.27127123,10,474.157,,1.410,239,24,29,,
T,2022-10-11 02:53:29,23.29269678,77.27126008,10,474.150,,1.410,234,23,29,,
T,2022-10-11 02:53:30,23.29268702,77.27125272,10,474.348,,0.720,228,24,29,,
T,2022-10-11 02:53:31,23.29267737,77.27124499,10,473.758,,1.390,226,24,29,,
T,2022-10-11 02:53:32,23.29266583,77.27123540,10,473.879,,1.070,215,24,29,,
T,2022-10-11 02:53:33,23.29265412,77.27122579,10,473.340,,1.380,215,24,29,,
T,2022-10-11 02:53:34,23.29264156,77.27121627,10,473.223,,1.390,212,24,29,,
T,2022-10-11 02:53:35,23.29262865,77.27120869,10,472.948,,1.400,216,24,29,,
T,2022-10-11 02:53:36,23.29261630,77.27119915,10,472.855,,1.400,217,24,29,,
T,2022-10-11 02:53:37,23.29260677,77.27118721,10,472.478,,1.400,223,23,29,,
T,2022-10-11 02:53:38,23.29259879,77.27117502,10,472.254,,1.390,229,23,29,,
T,2022-10-11 02:53:39,23.29259067,77.27116134,10,471.883,,1.400,235,23,29,,
T,2022-10-11 02:53:40,23.29258334,77.27114866,10,471.646,,1.400,236,23,29,,
T,2022-10-11 02:53:41,23.29257712,77.27113407,10,471.133,,1.400,238,23,29,,
T,2022-10-11 02:53:42,23.29257222,77.27111933,10,471.384,,1.380,242,23,29,,
T,2022-10-11 02:53:43,23.29256625,77.27110514,10,471.168,,1.380,241,23,29,,
T,2022-10-11 02:53:44,23.29255629,77.27109279,10,471.045,,1.400,233,23,29,,
T,2022-10-11 02:53:45,23.29254306,77.27108315,10,470.906,,1.430,225,23,29,,
T,2022-10-11 02:53:46,23.29252778,77.27107279,10,471.289,,1.460,217,23,29,,
T,2022-10-11 02:53:47,23.29251215,77.27106313,10,471.078,,1.460,217,23,29,,
T,2022-10-11 02:53:48,23.29249948,77.27105538,10,470.418,,1.420,217,23,29,,
T,2022-10-11 02:53:49,23.29248728,77.27104678,10,470.769,,1.420,220,23,29,,
T,2022-10-11 02:53:50,23.29247605,77.27103993,10,470.590,,1.400,219,22,29,,
T,2022-10-11 02:53:51,23.29246317,77.27103426,10,466.024,,1.400,216,22,29,,
T,2022-10-11 02:53:52,23.29245223,77.27102337,10,466.199,,1.660,223,22,29,,
T,2022-10-11 02:53:53,23.29244292,77.27101176,10,465.616,,1.600,227,20,29,,
T,2022-10-11 02:53:54,23.29243801,77.27099953,10,464.969,,1.520,242,21,29,,
T,2022-10-11 02:53:55,23.29243446,77.27098667,10,464.740,,1.580,248,21,29,,
T,2022-10-11 02:53:56,23.29243488,77.27097335,10,465.168,,1.440,270,23,29,,
T,2022-10-11 02:53:57,23.29243948,77.27096016,10,468.102,,1.560,282,24,29,,
T,2022-10-11 02:53:58,23.29244880,77.27094796,10,467.691,,1.690,303,24,29,,
T,2022-10-11 02:53:59,23.29246251,77.27093713,10,470.134,,1.560,316,22,29,,
T,2022-10-11 02:54:00,23.29247834,77.27093052,10,466.317,,1.570,331,22,29,,
T,2022-10-11 02:54:01,23.29249343,77.27092595,10,465.646,,1.600,337,22,29,,
T,2022-10-11 02:54:02,23.29250851,77.27091970,10,466.584,,1.600,332,22,29,,
T,2022-10-11 02:54:03,23.29252198,77.27091045,10,470.613,,1.590,325,22,29,,
T,2022-10-11 02:54:04,23.29253582,77.27090274,10,471.454,,1.760,332,22,29,,
T,2022-10-11 02:54:05,23.29254810,77.27089806,10,470.383,,1.610,344,23,29,,
T,2022-10-11 02:54:06,23.29255905,77.27089796,10,467.441,,1.590,359,22,29,,
T,2022-10-11 02:54:07,23.29256528,77.27089916,10,468.072,,0.620,1,23,29,,
T,2022-10-11 02:54:08,23.29256890,77.27090078,10,471.740,,0.660,358,23,29,,
T,2022-10-11 02:54:09,23.29257636,77.27089669,10,471.477,,1.600,338,24,29,,
T,2022-10-11 02:54:10,23.29258524,77.27088704,10,471.486,,1.600,329,21,29,,
T,2022-10-11 02:54:11,23.29259340,77.27087594,10,471.608,,1.590,325,20,29,,
T,2022-10-11 02:54:12,23.29260260,77.27086613,11,472.157,,1.590,327,21,29,,
T,2022-10-11 02:54:13,23.29261283,77.27085676,11,472.438,,1.590,329,21,29,,
T,2022-10-11 02:54:14,23.29262719,77.27085089,11,473.147,,1.610,333,21,29,,
T,2022-10-11 02:54:15,23.29264188,77.27084477,11,473.304,,1.630,335,19,29,,
T,2022-10-11 02:54:16,23.29265633,77.27083895,11,473.446,,1.630,336,19,29,,
T,2022-10-11 02:54:17,23.29267027,77.27083379,11,473.385,,1.640,336,17,29,,
T,2022-10-11 02:54:18,23.29268381,77.27082908,11,474.981,,1.640,338,15,29,,
T,2022-10-11 02:54:19,23.29269859,77.27082713,12,474.920,,1.650,341,13,29,,
T,2022-10-11 02:54:20,23.29271278,77.27082478,12,474.814,,1.650,344,11,29,,
T,2022-10-11 02:54:21,23.29272777,77.27082613,12,475.000,,1.650,349,13,29,,
T,2022-10-11 02:54:22,23.29274424,77.27082771,12,475.317,,1.660,350,12,29,,
T,2022-10-11 02:54:23,23.29276063,77.27082690,12,475.405,,1.650,348,12,29,,
T,2022-10-11 02:54:24,23.29277400,77.27082367,12,475.334,,1.640,343,10,29,,
T,2022-10-11 02:54:25,23.29278709,77.27081931,12,475.279,,1.660,340,10,29,,
T,2022-10-11 02:54:26,23.29279870,77.27081288,12,475.273,,1.660,339,9,29,,
T,2022-10-11 02:54:27,23.29280718,77.27080778,12,475.270,,1.120,338,8,28,,
T,2022-10-11 02:54:28,23.29281926,77.27081956,13,475.998,,1.120,344,9,28,,
T,2022-10-11 02:54:29,23.29282727,77.27082181,13,475.602,,1.110,349,10,28,,
T,2022-10-11 02:54:30,23.29283330,77.27082326,13,475.782,,1.100,352,9,29,,
T,2022-10-11 02:54:31,23.29284098,77.27082150,13,475.976,,1.030,350,8,29,,
T,2022-10-11 02:54:32,23.29284783,77.27080964,13,475.945,,1.040,335,8,29,,
T,2022-10-11 02:54:33,23.29285270,77.27079005,13,476.041,,1.040,332,9,29,,
T,2022-10-11 02:54:34,23.29285831,77.27077742,13,477.143,,1.040,335,8,29,,
T,2022-10-11 02:54:35,23.29286649,77.27076702,13,475.610,,1.220,344,8,29,,
T,2022-10-11 02:54:36,23.29287524,77.27075728,13,475.488,,1.120,352,10,28,,
T,2022-10-11 02:54:37,23.29288427,77.27075112,14,476.755,,1.130,357,10,31,,
T,2022-10-11 02:54:38,23.29289326,77.27074557,14,476.531,,1.130,350,11,29,,
T,2022-10-11 02:54:39,23.29290207,77.27074211,14,476.459,,1.120,3,12,30,,
T,2022-10-11 02:54:40,23.29291081,77.27073963,13,476.274,,1.120,357,12,31,,
T,2022-10-11 02:54:41,23.29291948,77.27073662,13,476.188,,1.110,353,14,30,,
T,2022-10-11 02:54:42,23.29292738,77.27073166,13,476.234,,1.100,332,15,31,,
T,2022-10-11 02:54:43,23.29293418,77.27072426,13,476.371,,1.110,324,18,31,,
T,2022-10-11 02:54:44,23.29294045,77.27071562,13,476.340,,1.110,318,18,31,,
T,2022-10-11 02:54:45,23.29294379,77.27070291,14,476.968,,1.110,300,18,31,,
T,2022-10-11 02:54:46,23.29294020,77.27069022,13,476.927,,1.100,241,18,31,,
T,2022-10-11 02:54:47,23.29292978,77.27068268,13,476.924,,1.080,195,18,31,,
T,2022-10-11 02:54:48,23.29291816,77.27067907,13,476.883,,1.070,187,17,31,,
T,2022-10-11 02:54:49,23.29290729,77.27067632,13,476.877,,1.070,183,19,31,,
T,2022-10-11 02:54:50,23.29289706,77.27067251,12,476.858,,1.080,193,18,31,,
T,2022-10-11 02:54:51,23.29288776,77.27066709,12,476.760,,1.080,203,20,31,,
T,2022-10-11 02:54:52,23.29287950,77.27066023,12,476.694,,1.080,212,21,31,,
T,2022-10-11 02:54:53,23.29287234,77.27065276,12,476.756,,1.090,218,20,31,,
T,2022-10-11 02:54:54,23.29286495,77.27060402,11,477.252,,1.400,219,22,31,,
T,2022-10-11 02:54:55,23.29285116,77.27055635,11,476.963,,1.470,205,21,31,,
T,2022-10-11 02:54:56,23.29284726,77.27051659,10,481.887,,1.430,303,21,31,,
T,2022-10-11 02:54:57,23.29285019,77.27048546,10,482.627,,1.440,301,20,31,,
T,2022-10-11 02:54:58,23.29285028,77.27045235,10,480.869,,1.520,298,21,31,,
T,2022-10-11 02:54:59,23.29285147,77.27042098,10,479.462,,1.560,296,21,31,,
T,2022-10-11 02:55:00,23.29285193,77.27039323,11,479.224,,1.530,295,21,31,,
T,2022-10-11 02:55:01,23.29285553,77.27036880,11,480.192,,1.600,305,22,31,,
T,2022-10-11 02:55:02,23.29286259,77.27034450,11,477.403,,1.510,340,21,31,,
T,2022-10-11 02:55:03,23.29287583,77.27032360,10,476.998,,1.750,331,21,30,,
T,2022-10-11 02:55:04,23.29288932,77.27030961,10,477.288,,1.750,357,18,31,,
T,2022-10-11 02:55:05,23.29289838,77.27029918,10,477.562,,0.400,344,19,31,,
T,2022-10-11 02:55:06,23.29290217,77.27029035,10,477.966,,0.420,348,20,31,,
