type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2022-10-10 05:15:26,23.29268075,77.27282695,6,476.085,,0.000,,17,30,20221010-104526,GPS Logger: 20221010-104526 - Track_5_Oct_10
T,2022-10-10 05:15:27,23.29268833,77.27282891,5,475.967,,0.000,,17,30,,
T,2022-10-10 05:15:28,23.29270758,77.27282339,5,475.412,,0.000,,17,30,,
T,2022-10-10 05:15:29,23.29265228,77.27286327,4,476.605,,0.000,,18,30,,
T,2022-10-10 05:15:30,23.29265708,77.27286086,4,476.057,,0.000,,19,30,,
T,2022-10-10 05:15:31,23.29267239,77.27284787,4,475.327,,0.000,,19,30,,
T,2022-10-10 05:15:32,23.29267366,77.27284667,3,474.707,,0.000,,19,30,,
T,2022-10-10 05:15:33,23.29267728,77.27284315,4,474.642,,0.000,,19,30,,
T,2022-10-10 05:15:34,23.29267009,77.27284747,3,474.653,,0.000,,19,30,,
T,2022-10-10 05:15:35,23.29267073,77.27284448,3,474.768,,0.000,,19,30,,
T,2022-10-10 05:15:36,23.29266699,77.27284653,3,474.495,,0.000,,19,30,,
T,2022-10-10 05:15:37,23.29266666,77.27284630,3,474.622,,0.000,,22,29,,
T,2022-10-10 05:15:38,23.29266753,77.27284615,4,474.519,,0.000,,22,29,,
T,2022-10-10 05:15:39,23.29266743,77.27284583,3,474.151,,0.000,,22,29,,
T,2022-10-10 05:15:40,23.29263641,77.27286045,3,471.104,,1.980,164,24,29,,
T,2022-10-10 05:15:41,23.29259152,77.27286722,3,470.840,,1.980,162,24,29,,
T,2022-10-10 05:15:42,23.29258326,77.27286095,3,471.019,,1.600,173,24,29,,
T,2022-10-10 05:15:43,23.29257580,77.27285429,3,471.021,,1.440,170,23,29,,
T,2022-10-10 05:15:44,23.29256106,77.27285182,3,472.053,,1.420,172,23,29,,
T,2022-10-10 05:15:45,23.29254953,77.27285238,3,472.567,,1.360,170,23,29,,
T,2022-10-10 05:15:46,23.29253727,77.27285473,3,472.427,,1.330,171,23,29,,
T,2022-10-10 05:15:47,23.29252308,77.27285844,3,472.584,,1.350,171,23,29,,
T,2022-10-10 05:15:48,23.29250760,77.27286217,3,472.657,,1.360,173,23,29,,
T,2022-10-10 05:15:49,23.29249465,77.27286534,3,473.095,,1.360,173,24,29,,
T,2022-10-10 05:15:50,23.29248041,77.27286788,3,472.729,,1.380,173,24,29,,
T,2022-10-10 05:15:51,23.29246458,77.27287004,3,472.786,,1.400,172,24,29,,
T,2022-10-10 05:15:52,23.29244750,77.27287316,3,472.275,,1.420,170,24,29,,
T,2022-10-10 05:15:53,23.29242999,77.27287706,3,472.208,,1.430,169,24,29,,
T,2022-10-10 05:15:54,23.29241124,77.27288364,3,472.091,,1.460,158,23,29,,
T,2022-10-10 05:15:55,23.29239382,77.27289131,3,471.879,,1.440,153,23,29,,
T,2022-10-10 05:15:56,23.29238283,77.27290019,3,471.534,,0.770,137,23,29,,
T,2022-10-10 05:15:57,23.29237432,77.27291261,3,470.959,,0.000,,24,29,,
T,2022-10-10 05:15:58,23.29236705,77.27292756,3,470.409,,1.470,119,24,29,,
T,2022-10-10 05:15:59,23.29236281,77.27294200,3,470.356,,0.830,96,24,29,,
T,2022-10-10 05:16:00,23.29236054,77.27294902,3,470.379,,0.310,101,23,29,,
T,2022-10-10 05:16:01,23.29235800,77.27295147,3,470.439,,0.250,121,23,29,,
T,2022-10-10 05:16:02,23.29235440,77.27295188,3,470.427,,0.000,,23,29,,
T,2022-10-10 05:16:03,23.29235294,77.27295168,3,470.592,,0.000,,23,29,,
T,2022-10-10 05:16:04,23.29235572,77.27295311,3,471.147,,0.500,35,23,29,,
T,2022-10-10 05:16:05,23.29235842,77.27295604,3,470.509,,0.510,63,24,29,,
T,2022-10-10 05:16:06,23.29235890,77.27295844,3,470.258,,0.220,88,24,29,,
T,2022-10-10 05:16:07,23.29236158,77.27296171,3,469.952,,0.840,22,24,29,,
T,2022-10-10 05:16:08,23.29237074,77.27296776,3,469.819,,1.430,33,24,29,,
T,2022-10-10 05:16:09,23.29238022,77.27297301,3,469.663,,0.760,53,23,29,,
T,2022-10-10 05:16:10,23.29238584,77.27297665,3,469.346,,0.570,50,23,29,,
T,2022-10-10 05:16:11,23.29238852,77.27297679,3,468.601,,0.160,344,23,29,,
T,2022-10-10 05:16:12,23.29238972,77.27297465,3,468.318,,0.180,307,23,29,,
T,2022-10-10 05:16:13,23.29239585,77.27297311,3,468.496,,0.810,11,23,29,,
T,2022-10-10 05:16:14,23.29240496,77.27297209,3,468.818,,0.850,10,23,29,,
T,2022-10-10 05:16:15,23.29240644,77.27297291,3,469.195,,0.190,167,23,28,,
T,2022-10-10 05:16:16,23.29240405,77.27297540,4,469.141,,0.580,184,23,28,,
T,2022-10-10 05:16:17,23.29239441,77.27298325,4,469.527,,1.170,161,21,28,,
T,2022-10-10 05:16:18,23.29237539,77.27299469,4,469.541,,1.480,152,19,28,,
T,2022-10-10 05:16:19,23.29235842,77.27300589,4,470.197,,1.430,147,18,28,,
T,2022-10-10 05:16:20,23.29234352,77.27301817,4,471.224,,1.410,154,18,28,,
T,2022-10-10 05:16:21,23.29231960,77.27302758,10,471.296,,0.000,,16,28,,
T,2022-10-10 05:16:22,23.29230846,77.27303160,10,471.544,,1.400,161,18,28,,
T,2022-10-10 05:16:23,23.29230028,77.27303123,10,471.757,,0.330,171,19,28,,
T,2022-10-10 05:16:24,23.29229856,77.27302712,10,471.795,,0.000,,16,27,,
T,2022-10-10 05:16:25,23.29227577,77.27301950,10,471.784,,1.700,171,17,27,,
T,2022-10-10 05:16:26,23.29203594,77.27306348,11,473.351,,5.350,173,17,28,,
T,2022-10-10 05:16:27,23.29199939,77.27306308,11,473.271,,5.310,170,18,28,,
T,2022-10-10 05:16:28,23.29195326,77.27305423,11,473.063,,5.120,173,18,28,,
T,2022-10-10 05:16:29,23.29192290,77.27306063,11,473.280,,4.650,172,13,28,,
T,2022-10-10 05:16:30,23.29187100,77.27307108,11,472.917,,5.460,168,16,28,,
T,2022-10-10 05:16:31,23.29181161,77.27307802,11,477.570,,5.140,170,17,28,,
T,2022-10-10 05:16:32,23.29173952,77.27308953,11,477.725,,5.410,170,17,28,,
T,2022-10-10 05:16:33,23.29170087,77.27308427,11,478.051,,5.260,176,17,28,,
T,2022-10-10 05:16:34,23.29163394,77.27309025,11,477.754,,5.860,173,17,28,,
T,2022-10-10 05:16:35,23.29160892,77.27309196,11,478.246,,5.730,174,16,28,,
T,2022-10-10 05:16:36,23.29155886,77.27310607,11,477.953,,6.140,172,16,27,,
T,2022-10-10 05:16:37,23.29151362,77.27311468,11,477.670,,6.200,170,18,28,,
T,2022-10-10 05:16:38,23.29143708,77.27313310,11,477.623,,6.550,170,17,28,,
T,2022-10-10 05:16:39,23.29137287,77.27314302,11,477.301,,6.540,170,17,27,,
T,2022-10-10 05:16:40,23.29131223,77.27315885,11,477.233,,6.810,173,18,28,,
T,2022-10-10 05:16:41,23.29125511,77.27317112,11,476.677,,6.750,172,18,27,,
T,2022-10-10 05:16:42,23.29118572,77.27318672,11,476.933,,6.970,169,18,28,,
T,2022-10-10 05:16:43,23.29112390,77.27320105,11,477.215,,6.960,169,16,28,,
T,2022-10-10 05:16:44,23.29107628,77.27321785,12,477.872,,6.760,168,17,28,,
T,2022-10-10 05:16:45,23.29100003,77.27323497,12,477.725,,6.690,168,17,28,,
T,2022-10-10 05:16:46,23.29093064,77.27324670,12,477.999,,6.740,168,16,28,,
T,2022-10-10 05:16:47,23.29086435,77.27325862,12,477.897,,7.340,170,17,28,,
T,2022-10-10 05:16:48,23.29079608,77.27327854,11,477.573,,7.180,167,17,28,,
T,2022-10-10 05:16:49,23.29072620,77.27329364,11,476.777,,7.300,168,18,28,,
T,2022-10-10 05:16:50,23.29066002,77.27332274,12,476.022,,7.510,165,18,28,,
T,2022-10-10 05:16:51,23.29059176,77.27332779,12,475.086,,7.110,168,18,28,,
T,2022-10-10 05:16:52,23.29052223,77.27334426,11,474.316,,7.170,171,18,28,,
T,2022-10-10 05:16:53,23.29045502,77.27332716,11,476.530,,7.320,172,18,28,,
T,2022-10-10 05:16:54,23.29038265,77.27333916,11,476.539,,7.320,172,19,28,,
T,2022-10-10 05:16:55,23.29031157,77.27334540,11,476.316,,7.420,173,19,28,,
T,2022-10-10 05:16:56,23.29025310,77.27335272,12,476.883,,7.300,173,19,28,,
T,2022-10-10 05:16:57,23.29018692,77.27336562,11,476.551,,6.710,173,19,28,,
T,2022-10-10 05:16:58,23.29012180,77.27337142,11,476.452,,7.270,171,19,28,,
T,2022-10-10 05:16:59,23.29006167,77.27338750,11,474.786,,7.130,173,18,28,,
T,2022-10-10 05:17:00,23.28999432,77.27340912,11,474.965,,7.260,172,18,28,,
T,2022-10-10 05:17:01,23.28992599,77.27343546,11,475.014,,7.410,167,18,28,,
T,2022-10-10 05:17:02,23.28986409,77.27344413,12,475.464,,7.300,167,18,28,,
T,2022-10-10 05:17:03,23.28981741,77.27340968,12,474.842,,6.620,177,18,28,,
T,2022-10-10 05:17:04,23.28976725,77.27341511,13,474.966,,6.230,177,18,25,,
T,2022-10-10 05:17:05,23.28968696,77.27343417,13,475.202,,6.840,173,18,25,,
T,2022-10-10 05:17:06,23.28961749,77.27342116,12,475.263,,7.010,171,17,25,,
T,2022-10-10 05:17:07,23.28955463,77.27341223,11,476.060,,7.070,170,17,25,,
T,2022-10-10 05:17:08,23.28949282,77.27341712,11,477.368,,6.890,172,18,25,,
T,2022-10-10 05:17:09,23.28942521,77.27340850,11,474.041,,6.960,173,18,25,,
T,2022-10-10 05:17:10,23.28936084,77.27342871,11,475.134,,7.010,165,18,25,,
T,2022-10-10 05:17:11,23.28929541,77.27344598,11,475.011,,7.350,167,17,25,,
T,2022-10-10 05:17:12,23.28921016,77.27346035,11,475.147,,6.960,170,17,25,,
