type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2022-10-14 03:18:03,23.29315112,77.27219040,10,482.441,,0.000,,14,32,20221014-084803,GPS Logger: 20221014-084803 - Track_9_Oct_14
T,2022-10-14 03:18:04,23.29304481,77.27216858,4,482.272,,0.000,,14,32,,
T,2022-10-14 03:18:05,23.29306120,77.27218252,3,482.107,,0.000,,16,32,,
T,2022-10-14 03:18:06,23.29304473,77.27223902,3,481.968,,0.000,,18,32,,
T,2022-10-14 03:18:07,23.29303603,77.27227758,3,481.835,,0.000,,21,32,,
T,2022-10-14 03:18:08,23.29303793,77.27228750,3,481.257,,0.000,,20,32,,
T,2022-10-14 03:18:09,23.29301728,77.27229993,3,477.175,,0.000,,19,32,,
T,2022-10-14 03:18:10,23.29300608,77.27231230,3,477.189,,0.000,,21,32,,
T,2022-10-14 03:18:11,23.29300371,77.27230557,3,476.902,,0.000,,22,32,,
T,2022-10-14 03:18:12,23.29299720,77.27230604,3,477.149,,0.000,,21,32,,
T,2022-10-14 03:18:13,23.29299124,77.27230626,3,477.169,,0.000,,21,32,,
T,2022-10-14 03:18:14,23.29299135,77.27230639,3,477.210,,0.000,,21,32,,
T,2022-10-14 03:18:15,23.29298371,77.27230652,3,477.369,,0.000,,21,32,,
T,2022-10-14 03:18:16,23.29298094,77.27230630,3,477.569,,0.000,,21,32,,
T,2022-10-14 03:18:17,23.29297934,77.27230617,3,477.564,,0.000,,20,32,,
T,2022-10-14 03:18:18,23.29297780,77.27230567,3,477.675,,0.000,,20,31,,
T,2022-10-14 03:18:19,23.29297726,77.27230539,3,477.855,,0.000,,20,30,,
T,2022-10-14 03:18:20,23.29294521,77.27229359,3,477.685,,1.730,223,19,31,,
T,2022-10-14 03:18:21,23.29292954,77.27228323,3,476.305,,1.650,235,21,31,,
T,2022-10-14 03:18:22,23.29291494,77.27227325,3,476.482,,1.230,229,22,29,,
T,2022-10-14 03:18:23,23.29288605,77.27225356,3,474.616,,1.690,233,20,29,,
T,2022-10-14 03:18:24,23.29287997,77.27224132,3,473.830,,1.040,234,20,29,,
T,2022-10-14 03:18:25,23.29287539,77.27222473,3,472.543,,1.390,238,20,29,,
T,2022-10-14 03:18:26,23.29286965,77.27220832,3,471.822,,1.370,254,22,29,,
T,2022-10-14 03:18:27,23.29286508,77.27219335,3,471.070,,1.320,249,22,29,,
T,2022-10-14 03:18:28,23.29286164,77.27217994,3,471.443,,1.320,258,23,29,,
T,2022-10-14 03:18:29,23.29285945,77.27216586,3,471.851,,1.330,259,23,29,,
T,2022-10-14 03:18:30,23.29285513,77.27215234,3,471.327,,1.350,258,23,29,,
T,2022-10-14 03:18:31,23.29285119,77.27213952,3,471.547,,1.150,258,23,29,,
T,2022-10-14 03:18:32,23.29284743,77.27212586,3,471.678,,1.370,261,23,29,,
T,2022-10-14 03:18:33,23.29284488,77.27211050,3,471.974,,1.360,268,22,29,,
T,2022-10-14 03:18:34,23.29284320,77.27209629,3,471.356,,1.370,269,22,29,,
T,2022-10-14 03:18:35,23.29283953,77.27208077,3,471.073,,1.380,267,22,28,,
T,2022-10-14 03:18:36,23.29283479,77.27206386,3,470.749,,1.400,260,22,29,,
T,2022-10-14 03:18:37,23.29282967,77.27204716,3,471.290,,1.400,257,22,29,,
T,2022-10-14 03:18:38,23.29282623,77.27203156,3,470.711,,1.410,260,22,29,,
T,2022-10-14 03:18:39,23.29282483,77.27201350,3,468.923,,1.510,266,19,29,,
T,2022-10-14 03:18:40,23.29282096,77.27199650,3,469.818,,1.290,263,20,29,,
T,2022-10-14 03:18:41,23.29281480,77.27197855,3,469.816,,1.530,253,20,29,,
T,2022-10-14 03:18:42,23.29280567,77.27196421,3,469.801,,1.270,236,20,29,,
T,2022-10-14 03:18:43,23.29279589,77.27195483,4,470.487,,1.160,226,20,29,,
T,2022-10-14 03:18:44,23.29278668,77.27194495,3,470.303,,1.490,225,20,29,,
T,2022-10-14 03:18:45,23.29277879,77.27193211,4,470.277,,1.360,231,19,29,,
T,2022-10-14 03:18:46,23.29277182,77.27192010,4,470.278,,1.360,236,18,29,,
T,2022-10-14 03:18:47,23.29276462,77.27190901,4,470.199,,1.040,231,16,29,,
T,2022-10-14 03:18:48,23.29275569,77.27189644,5,470.316,,1.310,228,14,29,,
T,2022-10-14 03:18:49,23.29274938,77.27188380,5,470.397,,1.140,229,13,29,,
T,2022-10-14 03:18:50,23.29274876,77.27186222,5,470.886,,2.150,251,13,29,,
T,2022-10-14 03:18:51,23.29274956,77.27183863,5,470.965,,1.440,262,13,29,,
T,2022-10-14 03:18:52,23.29275394,77.27181978,5,471.208,,1.420,269,13,29,,
T,2022-10-14 03:18:53,23.29275914,77.27179967,5,471.258,,1.430,269,13,29,,
T,2022-10-14 03:18:54,23.29275980,77.27178006,6,471.585,,1.440,267,14,29,,
T,2022-10-14 03:18:55,23.29276147,77.27176003,6,471.003,,1.450,265,14,29,,
T,2022-10-14 03:18:56,23.29276154,77.27174036,8,471.336,,1.460,262,14,26,,
T,2022-10-14 03:18:57,23.29275182,77.27172233,9,471.949,,1.560,252,14,26,,
T,2022-10-14 03:18:58,23.29274879,77.27170383,12,472.232,,1.560,251,14,26,,
T,2022-10-14 03:18:59,23.29275226,77.27168469,12,472.292,,1.470,256,14,26,,
T,2022-10-14 03:19:00,23.29276111,77.27166583,12,472.310,,1.470,274,13,26,,
T,2022-10-14 03:19:01,23.29276605,77.27164148,12,472.207,,2.270,269,13,26,,
T,2022-10-14 03:19:02,23.29275747,77.27162003,12,472.682,,1.470,261,14,26,,
T,2022-10-14 03:19:03,23.29274615,77.27160404,12,473.013,,1.480,251,14,26,,
T,2022-10-14 03:19:04,23.29273298,77.27158996,12,473.464,,1.470,247,14,24,,
T,2022-10-14 03:19:05,23.29272172,77.27158125,12,473.638,,0.860,245,14,24,,
T,2022-10-14 03:19:06,23.29271159,77.27157319,12,473.820,,1.440,244,14,26,,
T,2022-10-14 03:19:07,23.29270337,77.27156154,12,473.723,,1.440,243,14,29,,
T,2022-10-14 03:19:08,23.29269866,77.27154853,12,473.606,,1.440,244,13,29,,
T,2022-10-14 03:19:09,23.29269218,77.27153654,12,473.786,,1.400,236,11,29,,
T,2022-10-14 03:19:10,23.29268612,77.27152442,12,473.892,,1.440,228,11,29,,
T,2022-10-14 03:19:11,23.29267691,77.27151297,12,474.060,,1.450,218,11,29,,
T,2022-10-14 03:19:12,23.29266822,77.27150112,12,473.904,,1.430,222,12,28,,
T,2022-10-14 03:19:13,23.29266291,77.27148643,12,473.472,,1.430,228,12,29,,
T,2022-10-14 03:19:14,23.29266209,77.27147032,12,473.674,,1.430,237,11,29,,
T,2022-10-14 03:19:15,23.29265947,77.27145527,12,473.709,,1.430,236,10,29,,
T,2022-10-14 03:19:16,23.29265510,77.27144101,12,473.452,,1.450,236,10,29,,
T,2022-10-14 03:19:17,23.29265337,77.27142615,12,473.402,,1.170,242,11,29,,
T,2022-10-14 03:19:18,23.29265463,77.27140905,12,473.415,,1.440,254,11,29,,
T,2022-10-14 03:19:19,23.29265255,77.27138793,12,472.951,,1.850,254,11,29,,
T,2022-10-14 03:19:20,23.29264809,77.27136823,12,472.683,,1.450,244,12,29,,
T,2022-10-14 03:19:21,23.29263855,77.27135424,12,471.845,,1.480,233,12,29,,
T,2022-10-14 03:19:22,23.29262231,77.27134479,12,471.349,,1.490,223,12,29,,
T,2022-10-14 03:19:23,23.29260663,77.27133496,11,471.868,,1.480,220,12,29,,
T,2022-10-14 03:19:24,23.29259201,77.27132283,11,471.843,,1.490,221,12,29,,
T,2022-10-14 03:19:25,23.29257801,77.27131077,11,471.929,,1.480,223,12,28,,
T,2022-10-14 03:19:26,23.29256691,77.27129260,11,471.538,,1.870,235,12,28,,
T,2022-10-14 03:19:27,23.29255848,77.27127563,11,471.257,,1.490,241,12,29,,
T,2022-10-14 03:19:28,23.29255395,77.27125835,11,470.707,,1.490,252,12,29,,
T,2022-10-14 03:19:29,23.29255031,77.27124585,10,470.032,,1.480,251,13,29,,
T,2022-10-14 03:19:30,23.29254486,77.27123113,10,470.262,,1.480,250,13,29,,
T,2022-10-14 03:19:31,23.29253646,77.27121622,11,471.019,,1.480,244,13,29,,
T,2022-10-14 03:19:32,23.29252433,77.27120437,11,470.932,,1.480,236,13,29,,
T,2022-10-14 03:19:33,23.29251061,77.27119232,10,471.551,,1.490,228,13,29,,
T,2022-10-14 03:19:34,23.29249939,77.27117977,10,471.698,,1.500,230,13,29,,
T,2022-10-14 03:19:35,23.29249020,77.27116409,10,471.997,,1.520,238,12,29,,
T,2022-10-14 03:19:36,23.29248099,77.27114864,11,472.330,,1.520,244,15,29,,
T,2022-10-14 03:19:37,23.29247260,77.27113333,10,472.679,,1.520,243,15,29,,
T,2022-10-14 03:19:38,23.29246154,77.27112337,11,472.991,,1.500,229,14,29,,
T,2022-10-14 03:19:39,23.29245196,77.27111133,11,472.959,,2.020,232,14,29,,
T,2022-10-14 03:19:40,23.29244060,77.27110083,10,472.839,,1.850,224,14,29,,
T,2022-10-14 03:19:41,23.29243287,77.27109085,10,473.238,,1.720,236,15,29,,
T,2022-10-14 03:19:42,23.29242960,77.27107909,10,473.254,,1.500,237,15,29,,
T,2022-10-14 03:19:43,23.29242800,77.27106923,10,478.755,,1.480,250,16,29,,
T,2022-10-14 03:19:44,23.29242579,77.27105874,11,479.152,,1.470,250,16,29,,
T,2022-10-14 03:19:45,23.29242091,77.27104951,10,478.498,,1.450,244,16,29,,
T,2022-10-14 03:19:46,23.29241215,77.27104185,10,478.574,,1.460,230,16,29,,
T,2022-10-14 03:19:47,23.29240248,77.27103323,10,479.925,,1.460,228,15,29,,
T,2022-10-14 03:19:48,23.29239525,77.27102645,10,478.032,,0.970,231,15,29,,
T,2022-10-14 03:19:49,23.29239177,77.27102345,10,477.617,,0.800,242,15,29,,
T,2022-10-14 03:19:50,23.29238946,77.27101751,10,477.381,,0.930,251,14,29,,
T,2022-10-14 03:19:51,23.29239077,77.27100761,10,476.208,,1.430,269,15,29,,
T,2022-10-14 03:19:52,23.29239484,77.27099328,10,476.116,,1.430,287,15,26,,
T,2022-10-14 03:19:53,23.29240284,77.27097988,10,476.895,,1.430,304,16,26,,
T,2022-10-14 03:19:54,23.29241398,77.27096910,10,476.951,,1.450,314,15,26,,
T,2022-10-14 03:19:55,23.29242674,77.27095947,10,470.514,,1.460,323,16,29,,
T,2022-10-14 03:19:56,23.29243826,77.27094927,11,470.083,,1.460,322,16,29,,
T,2022-10-14 03:19:57,23.29244970,77.27094000,11,470.436,,1.250,326,15,29,,
T,2022-10-14 03:19:58,23.29246605,77.27093460,11,470.303,,1.780,342,15,29,,
T,2022-10-14 03:19:59,23.29248527,77.27093071,11,470.906,,1.470,357,14,29,,
T,2022-10-14 03:20:00,23.29250274,77.27092912,11,471.923,,1.490,3,14,29,,
T,2022-10-14 03:20:01,23.29251829,77.27092685,11,472.272,,1.240,353,14,29,,
T,2022-10-14 03:20:02,23.29252969,77.27092386,11,472.430,,0.920,348,14,29,,
T,2022-10-14 03:20:03,23.29253811,77.27091750,11,471.796,,1.000,333,15,29,,
T,2022-10-14 03:20:04,23.29254853,77.27090600,11,470.955,,1.690,320,15,29,,
T,2022-10-14 03:20:05,23.29255881,77.27089072,11,470.832,,1.700,307,16,29,,
T,2022-10-14 03:20:06,23.29256845,77.27087487,11,470.287,,1.690,304,15,29,,
T,2022-10-14 03:20:07,23.29257789,77.27085965,12,469.926,,1.680,306,15,29,,
T,2022-10-14 03:20:08,23.29258706,77.27084667,12,470.572,,1.690,309,13,29,,
T,2022-10-14 03:20:09,23.29259306,77.27083305,12,471.598,,1.680,306,14,29,,
T,2022-10-14 03:20:10,23.29259761,77.27082510,13,471.309,,0.000,,13,29,,
T,2022-10-14 03:20:11,23.29260804,77.27082337,13,472.156,,1.490,334,11,29,,
T,2022-10-14 03:20:12,23.29262108,77.27082125,13,471.795,,1.690,11,11,29,,
T,2022-10-14 03:20:13,23.29263818,77.27082779,13,471.823,,1.460,15,10,29,,
T,2022-10-14 03:20:14,23.29265382,77.27083377,13,471.559,,1.480,17,7,29,,
T,2022-10-14 03:20:15,23.29266430,77.27083694,13,471.626,,1.240,19,8,29,,
T,2022-10-14 03:20:16,23.29267265,77.27083694,13,471.346,,0.590,10,8,29,,
T,2022-10-14 03:20:17,23.29267843,77.27082615,13,469.905,,0.820,350,8,29,,
T,2022-10-14 03:20:18,23.29268560,77.27080651,14,468.840,,1.540,320,8,29,,
T,2022-10-14 03:20:19,23.29269331,77.27078472,13,468.832,,1.460,312,8,29,,
T,2022-10-14 03:20:20,23.29270001,77.27076446,14,472.438,,1.450,309,7,29,,
T,2022-10-14 03:20:21,23.29270941,77.27073913,14,472.225,,1.720,304,6,29,,
T,2022-10-14 03:20:22,23.29271977,77.27071563,14,472.075,,1.550,307,6,29,,
T,2022-10-14 03:20:23,23.29272794,77.27069395,14,472.126,,1.710,306,6,29,,
T,2022-10-14 03:20:24,23.29273601,77.27066981,14,471.822,,1.720,308,6,29,,
T,2022-10-14 03:20:25,23.29274710,77.27065172,14,471.842,,1.730,308,7,29,,
T,2022-10-14 03:20:26,23.29275726,77.27063778,15,471.787,,1.720,312,6,25,,
T,2022-10-14 03:20:27,23.29276731,77.27062453,15,471.849,,1.720,309,7,29,,
T,2022-10-14 03:20:28,23.29277981,77.27060898,14,471.692,,1.730,309,6,29,,
T,2022-10-14 03:20:29,23.29278684,77.27059479,14,471.987,,1.720,309,7,29,,
T,2022-10-14 03:20:30,23.29279558,77.27058059,14,472.010,,1.720,314,7,28,,
T,2022-10-14 03:20:31,23.29280590,77.27057216,13,472.168,,1.720,313,9,29,,
T,2022-10-14 03:20:32,23.29281249,77.27056052,13,472.332,,1.730,309,12,29,,
T,2022-10-14 03:20:33,23.29282091,77.27054613,13,472.839,,1.730,310,12,29,,
T,2022-10-14 03:20:34,23.29282907,77.27052918,12,472.787,,1.720,306,14,29,,
T,2022-10-14 03:20:35,23.29283663,77.27051149,12,473.216,,1.720,304,15,29,,
T,2022-10-14 03:20:36,23.29284049,77.27049136,12,473.597,,1.970,291,15,29,,
T,2022-10-14 03:20:37,23.29283868,77.27047131,11,474.095,,1.820,268,15,29,,
T,2022-10-14 03:20:38,23.29283435,77.27045398,11,474.300,,1.720,245,15,29,,
T,2022-10-14 03:20:39,23.29282252,77.27044134,11,473.510,,1.710,224,14,29,,
T,2022-10-14 03:20:40,23.29280786,77.27042613,11,473.114,,2.240,225,13,29,,
