type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2022-10-09 03:55:46,23.29326726,77.27250070,63,494.990,,1.420,166,7,48,20221009-092546,GPS Logger: 20221009-092546 - Track_4_Oct_9
T,2022-10-09 03:55:47,23.29326934,77.27252068,64,494.975,,1.340,165,7,48,,
T,2022-10-09 03:55:48,23.29327320,77.27252512,58,494.851,,1.240,164,6,48,,
T,2022-10-09 03:55:49,23.29327511,77.27252988,63,495.084,,0.900,163,7,48,,
T,2022-10-09 03:55:50,23.29327580,77.27253763,64,495.032,,0.680,162,7,48,,
T,2022-10-09 03:55:51,23.29326711,77.27254201,70,495.263,,1.330,162,6,48,,
T,2022-10-09 03:55:52,23.29326396,77.27257875,70,495.258,,1.820,161,6,48,,
T,2022-10-09 03:55:53,23.29326064,77.27260181,74,495.368,,1.630,168,6,48,,
T,2022-10-09 03:55:54,23.29325730,77.27262209,78,495.466,,1.630,166,6,49,,
T,2022-10-09 03:55:55,23.29325577,77.27263736,96,495.969,,1.370,165,4,49,,
T,2022-10-09 03:55:56,23.29326267,77.27264558,116,496.336,,0.550,123,4,49,,
T,2022-10-09 03:55:57,23.29326954,77.27265345,138,496.602,,0.540,108,4,49,,
T,2022-10-09 03:55:58,23.29327474,77.27266054,163,496.799,,0.540,85,4,49,,
T,2022-10-09 03:56:47,23.29302854,77.27226003,9,478.269,,1.430,186,20,49,,
T,2022-10-09 03:56:48,23.29301632,77.27225871,5,478.784,,1.430,191,20,49,,
T,2022-10-09 03:56:49,23.29300845,77.27225237,4,479.337,,1.420,176,17,33,,
T,2022-10-09 03:56:50,23.29300082,77.27224981,4,479.302,,1.450,184,18,33,,
T,2022-10-09 03:56:51,23.29298723,77.27224600,3,479.323,,1.470,187,18,32,,
T,2022-10-09 03:56:52,23.29297617,77.27224063,3,478.152,,1.490,197,18,33,,
T,2022-10-09 03:56:53,23.29296632,77.27223564,3,476.373,,1.470,204,18,33,,
T,2022-10-09 03:56:54,23.29295721,77.27222900,3,475.493,,1.300,214,19,33,,
T,2022-10-09 03:56:55,23.29295235,77.27221674,3,476.121,,1.610,273,22,33,,
T,2022-10-09 03:56:56,23.29294931,77.27220037,3,475.496,,1.460,260,22,33,,
T,2022-10-09 03:56:57,23.29294883,77.27218432,3,475.237,,1.470,260,24,33,,
T,2022-10-09 03:56:58,23.29294894,77.27216861,3,475.539,,1.460,268,24,33,,
T,2022-10-09 03:56:59,23.29294798,77.27215355,3,476.330,,1.430,261,24,33,,
T,2022-10-09 03:57:00,23.29294862,77.27213771,3,474.697,,1.460,264,24,33,,
T,2022-10-09 03:57:01,23.29294949,77.27212267,3,474.633,,1.470,261,23,33,,
T,2022-10-09 03:57:02,23.29295178,77.27210758,3,475.262,,1.460,269,23,33,,
T,2022-10-09 03:57:03,23.29295520,77.27209095,3,475.586,,1.470,273,23,33,,
T,2022-10-09 03:57:04,23.29295913,77.27207633,3,475.325,,1.450,278,23,33,,
T,2022-10-09 03:57:05,23.29296182,77.27206032,3,475.181,,1.470,274,23,33,,
T,2022-10-09 03:57:06,23.29296289,77.27204358,3,475.206,,1.480,273,23,33,,
T,2022-10-09 03:57:07,23.29296439,77.27202580,3,475.762,,1.510,275,22,33,,
T,2022-10-09 03:57:08,23.29296484,77.27200906,3,475.734,,1.500,277,23,33,,
T,2022-10-09 03:57:09,23.29296514,77.27199254,3,475.343,,1.500,276,23,33,,
T,2022-10-09 03:57:10,23.29296653,77.27197851,3,474.685,,1.460,277,24,33,,
T,2022-10-09 03:57:11,23.29296835,77.27196440,3,473.897,,1.460,279,24,33,,
T,2022-10-09 03:57:12,23.29296913,77.27195170,3,474.289,,1.450,278,24,32,,
T,2022-10-09 03:57:13,23.29296816,77.27193673,3,473.190,,1.460,273,25,32,,
T,2022-10-09 03:57:14,23.29296496,77.27192254,3,473.471,,1.450,266,24,32,,
T,2022-10-09 03:57:15,23.29296212,77.27191009,3,473.243,,1.430,266,24,32,,
T,2022-10-09 03:57:16,23.29296054,77.27189765,3,473.729,,1.440,270,24,32,,
T,2022-10-09 03:57:17,23.29296025,77.27188379,3,473.493,,1.450,274,24,32,,
T,2022-10-09 03:57:18,23.29295864,77.27186947,3,473.178,,1.440,272,24,31,,
T,2022-10-09 03:57:19,23.29295527,77.27185524,3,473.369,,1.440,264,24,32,,
T,2022-10-09 03:57:20,23.29294991,77.27183904,3,473.615,,1.450,262,24,32,,
T,2022-10-09 03:57:21,23.29294523,77.27182302,3,474.322,,1.450,266,24,32,,
T,2022-10-09 03:57:22,23.29294163,77.27180737,3,474.464,,1.430,269,24,32,,
T,2022-10-09 03:57:23,23.29293785,77.27179255,3,474.400,,1.430,267,24,32,,
T,2022-10-09 03:57:24,23.29293516,77.27177826,3,474.224,,1.440,268,24,32,,
T,2022-10-09 03:57:25,23.29293236,77.27176318,3,473.983,,1.450,270,24,31,,
T,2022-10-09 03:57:26,23.29293052,77.27174810,3,474.215,,1.450,272,24,31,,
T,2022-10-09 03:57:27,23.29292839,77.27173344,3,474.153,,1.470,268,24,31,,
T,2022-10-09 03:57:28,23.29292607,77.27171830,3,473.927,,1.480,266,23,31,,
T,2022-10-09 03:57:29,23.29292465,77.27170388,3,472.826,,1.480,261,22,31,,
T,2022-10-09 03:57:30,23.29292335,77.27169003,3,472.387,,1.480,267,23,31,,
T,2022-10-09 03:57:31,23.29292163,77.27167620,3,471.960,,1.470,269,23,31,,
T,2022-10-09 03:57:32,23.29291986,77.27166181,3,471.964,,1.460,273,23,31,,
T,2022-10-09 03:57:33,23.29291759,77.27164715,3,471.980,,1.460,268,23,31,,
T,2022-10-09 03:57:34,23.29291357,77.27163137,3,471.673,,1.470,264,23,31,,
T,2022-10-09 03:57:35,23.29290761,77.27161673,3,472.050,,1.470,254,23,30,,
T,2022-10-09 03:57:36,23.29290080,77.27160190,3,471.753,,1.430,251,23,30,,
T,2022-10-09 03:57:37,23.29289331,77.27158720,3,472.410,,1.470,246,23,30,,
T,2022-10-09 03:57:38,23.29288639,77.27157162,3,472.576,,1.500,257,23,30,,
T,2022-10-09 03:57:39,23.29287886,77.27155611,3,473.181,,1.490,251,23,30,,
T,2022-10-09 03:57:40,23.29287091,77.27153973,3,473.898,,1.480,253,23,30,,
T,2022-10-09 03:57:41,23.29286232,77.27152199,10,474.110,,1.510,251,22,30,,
T,2022-10-09 03:57:42,23.29285243,77.27150543,10,473.674,,1.520,245,22,30,,
T,2022-10-09 03:57:43,23.29284333,77.27149152,10,473.529,,1.510,244,22,30,,
T,2022-10-09 03:57:44,23.29283305,77.27147719,10,473.515,,1.530,240,22,30,,
T,2022-10-09 03:57:45,23.29282310,77.27146192,10,473.474,,1.570,245,21,30,,
T,2022-10-09 03:57:46,23.29281300,77.27144504,10,472.589,,1.610,243,23,30,,
T,2022-10-09 03:57:47,23.29280294,77.27143108,10,472.206,,1.590,240,24,30,,
T,2022-10-09 03:57:48,23.29279311,77.27141637,10,471.829,,1.590,239,24,30,,
T,2022-10-09 03:57:49,23.29278585,77.27139990,10,472.099,,1.450,248,25,30,,
T,2022-10-09 03:57:50,23.29277917,77.27138448,10,473.453,,1.490,233,25,30,,
T,2022-10-09 03:57:51,23.29276976,77.27137090,10,473.134,,1.390,207,25,30,,
T,2022-10-09 03:57:52,23.29276083,77.27135767,10,472.382,,1.910,232,25,30,,
T,2022-10-09 03:57:53,23.29275132,77.27134144,10,472.269,,1.620,236,25,30,,
T,2022-10-09 03:57:54,23.29274453,77.27132484,10,472.547,,1.610,244,25,30,,
T,2022-10-09 03:57:55,23.29273854,77.27130696,10,473.226,,1.590,243,25,30,,
T,2022-10-09 03:57:56,23.29273102,77.27129006,10,473.195,,1.600,242,25,30,,
T,2022-10-09 03:57:57,23.29272356,77.27127456,10,473.064,,1.580,245,25,30,,
T,2022-10-09 03:57:58,23.29271453,77.27125851,10,473.505,,1.620,240,25,30,,
T,2022-10-09 03:57:59,23.29270277,77.27124467,10,473.536,,1.640,234,24,30,,
T,2022-10-09 03:58:00,23.29268803,77.27123168,10,473.020,,1.660,224,24,30,,
T,2022-10-09 03:58:01,23.29267167,77.27122007,10,469.378,,1.650,221,24,30,,
T,2022-10-09 03:58:02,23.29265797,77.27121291,10,469.294,,1.580,218,24,30,,
T,2022-10-09 03:58:03,23.29264453,77.27120239,10,472.031,,1.610,225,23,30,,
T,2022-10-09 03:58:04,23.29263266,77.27118967,10,472.836,,1.610,231,23,30,,
T,2022-10-09 03:58:05,23.29262097,77.27117776,10,472.713,,1.600,235,24,30,,
T,2022-10-09 03:58:06,23.29260766,77.27116372,10,472.937,,1.640,231,23,30,,
T,2022-10-09 03:58:08,23.29258012,77.27113237,10,472.630,,1.680,232,23,30,,
T,2022-10-09 03:58:09,23.29256850,77.27111871,10,472.411,,1.660,233,23,30,,
T,2022-10-09 03:58:10,23.29255871,77.27110515,10,472.500,,1.640,233,23,30,,
T,2022-10-09 03:58:11,23.29254728,77.27109137,10,472.355,,1.650,229,22,30,,
T,2022-10-09 03:58:12,23.29253590,77.27108003,10,472.673,,1.620,229,22,30,,
T,2022-10-09 03:58:13,23.29252427,77.27106677,10,472.696,,1.640,232,23,30,,
T,2022-10-09 03:58:14,23.29251192,77.27105298,10,473.267,,1.650,234,23,30,,
T,2022-10-09 03:58:15,23.29250020,77.27104070,10,472.931,,1.640,232,23,30,,
T,2022-10-09 03:58:16,23.29248806,77.27102921,10,473.062,,1.650,228,23,30,,
T,2022-10-09 03:58:17,23.29247585,77.27102006,10,473.662,,1.640,222,23,30,,
T,2022-10-09 03:58:18,23.29246408,77.27101217,10,473.763,,1.610,222,23,30,,
T,2022-10-09 03:58:19,23.29245197,77.27100405,10,473.041,,1.620,221,22,30,,
T,2022-10-09 03:58:20,23.29244049,77.27099748,10,473.176,,1.600,222,22,30,,
T,2022-10-09 03:58:21,23.29242897,77.27099021,10,472.799,,1.570,221,22,30,,
T,2022-10-09 03:58:22,23.29241886,77.27098040,10,472.234,,1.540,227,23,30,,
T,2022-10-09 03:58:23,23.29241137,77.27096928,10,478.614,,1.710,246,23,30,,
T,2022-10-09 03:58:24,23.29240728,77.27095786,10,477.919,,1.250,282,23,29,,
T,2022-10-09 03:58:25,23.29240557,77.27094434,10,478.077,,1.690,271,23,29,,
T,2022-10-09 03:58:26,23.29240840,77.27092998,10,478.276,,1.660,286,23,30,,
T,2022-10-09 03:58:27,23.29241428,77.27091910,10,478.177,,1.170,298,23,30,,
T,2022-10-09 03:58:28,23.29242531,77.27091004,10,476.929,,1.630,318,24,30,,
T,2022-10-09 03:58:29,23.29243981,77.27090042,10,478.784,,1.670,324,25,30,,
T,2022-10-09 03:58:30,23.29245435,77.27089191,10,479.242,,1.690,322,25,30,,
T,2022-10-09 03:58:31,23.29246640,77.27088496,10,474.760,,1.670,324,25,30,,
T,2022-10-09 03:58:32,23.29247992,77.27087978,10,474.669,,1.670,332,24,30,,
T,2022-10-09 03:58:33,23.29249556,77.27087722,10,474.883,,1.660,343,24,30,,
T,2022-10-09 03:58:34,23.29251165,77.27087861,10,475.200,,1.650,355,23,30,,
T,2022-10-09 03:58:35,23.29252489,77.27088049,10,475.595,,1.190,354,24,30,,
T,2022-10-09 03:58:36,23.29253784,77.27087934,10,475.640,,1.670,349,24,30,,
T,2022-10-09 03:58:37,23.29255139,77.27087295,10,475.649,,1.660,331,24,30,,
T,2022-10-09 03:58:38,23.29256165,77.27086292,10,474.937,,1.660,322,25,30,,
T,2022-10-09 03:58:39,23.29257000,77.27085132,10,475.464,,1.660,313,25,30,,
T,2022-10-09 03:58:40,23.29257833,77.27083955,10,475.824,,1.670,312,22,30,,
T,2022-10-09 03:58:41,23.29258555,77.27082610,10,475.911,,1.680,308,22,30,,
T,2022-10-09 03:58:42,23.29259180,77.27081223,10,472.561,,1.670,304,21,30,,
T,2022-10-09 03:58:43,23.29259741,77.27079781,10,472.966,,1.680,299,20,30,,
T,2022-10-09 03:58:44,23.29260254,77.27078295,10,472.975,,1.690,298,20,30,,
T,2022-10-09 03:58:45,23.29260692,77.27076746,11,473.168,,1.690,294,16,30,,
T,2022-10-09 03:58:46,23.29261854,77.27075300,10,472.539,,2.020,302,16,30,,
T,2022-10-09 03:58:47,23.29263063,77.27074051,11,472.978,,1.710,309,15,30,,
T,2022-10-09 03:58:48,23.29264567,77.27073089,11,472.491,,1.720,320,15,30,,
T,2022-10-09 03:58:49,23.29265963,77.27072172,11,472.273,,1.710,320,14,30,,
T,2022-10-09 03:58:50,23.29267685,77.27071812,11,473.450,,1.670,324,14,30,,
T,2022-10-09 03:58:51,23.29269143,77.27071237,12,473.386,,1.560,324,14,30,,
T,2022-10-09 03:58:52,23.29270831,77.27070874,12,472.877,,1.730,328,15,30,,
T,2022-10-09 03:58:53,23.29272240,77.27069974,12,472.443,,1.730,323,16,30,,
T,2022-10-09 03:58:54,23.29273547,77.27068691,12,472.065,,1.720,325,16,30,,
T,2022-10-09 03:58:55,23.29274851,77.27067352,12,472.141,,1.720,326,16,30,,
T,2022-10-09 03:58:56,23.29275947,77.27065889,12,472.080,,1.740,329,15,30,,
T,2022-10-09 03:58:57,23.29277079,77.27064572,11,472.165,,1.730,329,14,30,,
T,2022-10-09 03:58:58,23.29278440,77.27063605,11,472.986,,1.720,324,16,29,,
T,2022-10-09 03:58:59,23.29279881,77.27062823,11,473.373,,1.710,324,15,30,,
T,2022-10-09 03:59:00,23.29280957,77.27062376,11,474.083,,0.990,328,14,30,,
T,2022-10-09 03:59:01,23.29281771,77.27061694,11,474.582,,1.130,335,14,30,,
T,2022-10-09 03:59:02,23.29282724,77.27060483,11,475.127,,1.700,328,14,30,,
T,2022-10-09 03:59:03,23.29283752,77.27058787,11,475.808,,1.710,321,14,29,,
T,2022-10-09 03:59:04,23.29284667,77.27057057,11,476.058,,1.720,318,15,31,,
T,2022-10-09 03:59:05,23.29285598,77.27055421,10,476.772,,1.710,320,16,31,,
T,2022-10-09 03:59:06,23.29286482,77.27054140,10,476.728,,1.710,320,17,32,,
T,2022-10-09 03:59:07,23.29287392,77.27053125,10,476.406,,1.710,320,17,30,,
T,2022-10-09 03:59:08,23.29287883,77.27052557,10,475.036,,1.670,321,19,31,,
T,2022-10-09 03:59:09,23.29288454,77.27051816,10,474.272,,1.670,319,19,31,,
T,2022-10-09 03:59:10,23.29289302,77.27050742,10,473.894,,1.690,316,19,30,,
T,2022-10-09 03:59:11,23.29290038,77.27049613,10,473.627,,1.670,312,20,31,,
T,2022-10-09 03:59:12,23.29290670,77.27048035,10,473.440,,1.700,301,22,31,,
T,2022-10-09 03:59:13,23.29290937,77.27046477,10,473.201,,1.670,291,22,31,,
T,2022-10-09 03:59:14,23.29290734,77.27044708,10,473.085,,1.580,276,22,31,,
T,2022-10-09 03:59:15,23.29290257,77.27042874,10,472.978,,1.660,264,22,31,,
T,2022-10-09 03:59:16,23.29289418,77.27041158,10,472.615,,1.660,248,22,29,,
T,2022-10-09 03:59:17,23.29288152,77.27039604,10,471.938,,1.680,238,21,29,,
T,2022-10-09 03:59:18,23.29286804,77.27038123,10,472.170,,1.710,229,22,29,,
T,2022-10-09 03:59:19,23.29285403,77.27036525,10,471.761,,1.730,229,21,29,,
T,2022-10-09 03:59:20,23.29284172,77.27034986,10,472.108,,1.740,234,24,29,,
T,2022-10-09 03:59:21,23.29283333,77.27033633,10,472.668,,1.110,251,24,29,,
T,2022-10-09 03:59:22,23.29283107,77.27032031,10,473.134,,1.740,296,23,29,,
T,2022-10-09 03:59:23,23.29283375,77.27030221,10,473.394,,1.750,301,23,29,,
T,2022-10-09 03:59:24,23.29284282,77.27028652,10,473.701,,1.990,308,23,29,,
T,2022-10-09 03:59:25,23.29285372,77.27027421,10,474.037,,1.750,319,23,29,,
T,2022-10-09 03:59:26,23.29286659,77.27026315,10,474.706,,1.770,324,23,29,,
T,2022-10-09 03:59:27,23.29287932,77.27025325,10,475.357,,1.750,325,24,29,,
T,2022-10-09 03:59:28,23.29289289,77.27024398,10,475.599,,1.750,329,24,29,,
T,2022-10-09 03:59:29,23.29290965,77.27023996,10,475.636,,2.050,346,24,29,,
T,2022-10-09 03:59:30,23.29292761,77.27024149,10,474.702,,1.730,1,24,29,,
T,2022-10-09 03:59:31,23.29294294,77.27024848,10,474.626,,1.710,17,24,29,,
T,2022-10-09 03:59:32,23.29295352,77.27025568,10,474.584,,0.940,20,24,29,,
T,2022-10-09 03:59:33,23.29296039,77.27026064,10,474.481,,0.720,20,24,29,,
T,2022-10-09 03:59:34,23.29296284,77.27026296,11,474.333,,0.000,,23,29,,
T,2022-10-09 03:59:35,23.29296221,77.27026375,13,474.222,,0.000,,22,29,,
T,2022-10-09 03:59:36,23.29296170,77.27026439,15,474.076,,0.000,,22,28,,
T,2022-10-09 03:59:37,23.29296130,77.27026489,16,473.906,,0.000,,18,28,,
T,2022-10-09 03:59:38,23.29296097,77.27026530,18,473.732,,0.000,,18,28,,
T,2022-10-09 03:59:39,23.29296071,77.27026609,20,473.555,,0.000,,2,28,,
T,2022-10-09 03:59:40,23.29296062,77.27026669,21,472.643,,0.000,,2,28,,
T,2022-10-09 03:59:41,23.29296054,77.27026718,24,472.533,,0.000,,2,28,,
T,2022-10-09 03:59:42,23.29295951,77.27027621,27,472.541,,0.710,97,2,28,,
T,2022-10-09 03:59:43,23.29295642,77.27028926,31,472.495,,0.950,100,5,28,,
T,2022-10-09 03:59:44,23.29295567,77.27030156,35,473.222,,0.870,93,6,28,,
T,2022-10-09 03:59:45,23.29295292,77.27031236,39,473.898,,0.740,94,9,31,,
T,2022-10-09 03:59:46,23.29294911,77.27031713,41,474.375,,0.000,,9,48,,
T,2022-10-09 03:59:47,23.29295472,77.27030890,41,474.710,,0.000,,9,48,,
T,2022-10-09 03:59:48,23.29295920,77.27030232,42,475.007,,0.000,,9,48,,
T,2022-10-09 03:59:49,23.29296498,77.27030748,41,475.102,,0.000,,6,48,,
T,2022-10-09 03:59:50,23.29298736,77.27032217,34,475.677,,0.810,359,5,48,,
T,2022-10-09 03:59:51,23.29301017,77.27033904,39,475.639,,0.730,360,5,48,,
T,2022-10-09 03:59:52,23.29302714,77.27035459,40,475.713,,0.000,,5,48,,
T,2022-10-09 03:59:53,23.29316052,77.27049027,39,475.810,,0.980,218,5,48,,
T,2022-10-09 03:59:54,23.29316641,77.27051979,35,476.054,,1.530,196,6,48,,
T,2022-10-09 03:59:55,23.29314936,77.27052181,38,476.028,,1.710,195,7,47,,
T,2022-10-09 03:59:56,23.29314875,77.27052520,34,476.066,,0.000,,7,42,,
T,2022-10-09 03:59:57,23.29315359,77.27052650,34,476.081,,0.000,,6,48,,
T,2022-10-09 03:59:58,23.29315551,77.27052752,34,476.077,,0.000,,5,48,,
T,2022-10-09 03:59:59,23.29315626,77.27052756,34,476.080,,0.000,,6,48,,
T,2022-10-09 04:00:00,23.29315741,77.27052587,34,475.990,,0.000,,5,48,,
T,2022-10-09 04:00:01,23.29315808,77.27052486,35,475.996,,0.000,,4,48,,
T,2022-10-09 04:00:02,23.29316287,77.27052450,35,475.924,,0.000,,4,48,,
T,2022-10-09 04:00:03,23.29316870,77.27052693,36,475.915,,0.000,,5,47,,
T,2022-10-09 04:00:04,23.29317371,77.27052882,38,475.919,,0.000,,6,48,,
T,2022-10-09 04:00:05,23.29317883,77.27052900,38,475.924,,0.000,,4,48,,
T,2022-10-09 04:00:06,23.29318341,77.27053566,36,476.008,,0.910,306,5,48,,
T,2022-10-09 04:00:07,23.29318998,77.27053666,39,476.008,,1.010,306,6,48,,
T,2022-10-09 04:00:08,23.29320175,77.27053751,36,476.074,,0.000,,6,48,,
T,2022-10-09 04:00:09,23.29320920,77.27054107,38,476.067,,0.000,,5,48,,
T,2022-10-09 04:00:10,23.29321516,77.27054391,39,476.061,,0.000,,4,48,,
T,2022-10-09 04:00:11,23.29321993,77.27054618,40,476.055,,0.000,,4,47,,
T,2022-10-09 04:00:12,23.29322374,77.27054800,40,476.050,,0.000,,3,47,,
T,2022-10-09 04:00:13,23.29322679,77.27054945,41,476.045,,0.000,,1,47,,
T,2022-10-09 04:00:14,23.29322923,77.27055062,41,476.041,,0.000,,1,47,,
